chrm	start	end	strand	geneName
chrI	335	649	W	ID=YAL069W|Name=YAL069W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	538	792	W	ID=YAL068W-A|Name=YAL068W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	1807	2169	C	ID=YAL068C|Name=YAL068C|gene=PAU8
chrI	2480	2707	W	ID=YAL067W-A|Name=YAL067W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	7235	9016	C	ID=YAL067C|Name=YAL067C|gene=SEO1
chrI	10091	10399	W	ID=YAL066W|Name=YAL066W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	11565	11951	C	ID=YAL065C|Name=YAL065C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	12046	12426	W	ID=YAL064W-B|Name=YAL064W-B|Ontology_term=GO:0003674,GO:0008150,GO:0016021
chrI	13363	13743	C	ID=YAL064C-A|Name=YAL064C-A|gene=TDA8
chrI	21566	21850	W	ID=YAL064W|Name=YAL064W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	22395	22685	C	ID=YAL063C-A|Name=YAL063C-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	24000	27968	C	ID=YAL063C|Name=YAL063C|gene=FLO9
chrI	31567	32940	W	ID=YAL062W|Name=YAL062W|gene=GDH3
chrI	33448	34701	W	ID=YAL061W|Name=YAL061W|gene=BDH2
chrI	35155	36303	W	ID=YAL060W|Name=YAL060W|gene=BDH1
chrI	36496	36918	C	ID=YAL059C-A|Name=YAL059C-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	36509	37147	W	ID=YAL059W|Name=YAL059W|gene=ECM1
chrI	37464	38972	W	ID=YAL058W|Name=YAL058W|gene=CNE1
chrI	38696	39046	C	ID=YAL056C-A|Name=YAL056C-A|Alias=YAL058C-A
chrI	39259	41901	W	ID=YAL056W|Name=YAL056W|gene=GPB2
chrI	42177	42719	W	ID=YAL055W|Name=YAL055W|gene=PEX22
chrI	42881	45022	C	ID=YAL054C|Name=YAL054C|gene=ACS1
chrI	45899	48250	W	ID=YAL053W|Name=YAL053W|gene=FLC2
chrI	48564	51707	W	ID=YAL051W|Name=YAL051W|gene=OAF1
chrI	51855	52595	C	ID=YAL049C|Name=YAL049C|gene=AIM2
chrI	52801	54789	C	ID=YAL048C|Name=YAL048C|gene=GEM1
chrI	54584	54913	W	ID=YAL047W-A|Name=YAL047W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	54989	56857	C	ID=YAL047C|Name=YAL047C|gene=SPC72
chrI	57029	57385	C	ID=YAL046C|Name=YAL046C|gene=AIM1
chrI	57488	57796	C	ID=YAL045C|Name=YAL045C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	57518	57850	W	ID=YAL044W-A|Name=YAL044W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	57950	58462	C	ID=YAL044C|Name=YAL044C|gene=GCV3
chrI	58695	61052	C	ID=YAL043C|Name=YAL043C|gene=PTA1
chrI	61231	61608	C	ID=YAL042C-A|Name=YAL042C-A|Alias=YAL043C-A
chrI	61316	62563	W	ID=YAL042W|Name=YAL042W|gene=ERV46
chrI	62840	65404	W	ID=YAL041W|Name=YAL041W|gene=CDC24
